Id1,Id2,IBD0.cM,IBD1.cM,IBD2.cM,EstDegree
GCPA042B1,GERMLINB2,0.999049260672099,NA,NA,11
GERMLINB1,GERMLINB2,0.0731849479618738,NA,NA,PO
GCPA042B1,GERMLINC1,0.995111098793294,NA,NA,9
GERMLINB1,GERMLINC1,0.99707276475166,NA,NA,9
GERMLINB2,GERMLINC1,0.998726478028319,NA,NA,11
GERMLINB1,GERMLINC2,0.99797266032482,NA,NA,10
GERMLINB2,GERMLINC2,0.998658773761644,NA,NA,11
GERMLINC1,GERMLINC2,0.552797419048683,NA,NA,2
GCPA042B1,GERMLIND1,0.998245675141616,NA,NA,10
GCPA042B1,GERMLIND2,0.998786898357309,NA,NA,11
GERMLINB1,GERMLIND2,0.997298071947631,NA,NA,10
GERMLINC1,GERMLIND2,0.999021100890801,NA,NA,11
GERMLINC2,GERMLIND2,0.997009167793124,NA,NA,9
GERMLIND1,GERMLIND2,0.924108429435641,NA,NA,5
GCPA042B1,GPCA041B1,0.925412472257798,NA,NA,5
GERMLINB1,GPCA041B1,0.999142323254563,NA,NA,11
GERMLINB2,GPCA041B1,0.998177303549644,NA,NA,10
GERMLINC1,GPCA041B1,0.998842119690208,NA,NA,11
GERMLIND1,GPCA041B1,0.99790281440608,NA,NA,10
GERMLIND2,GPCA041B1,0.998137995432481,NA,NA,10

