#sample_a	sample_b	relatedness	ibs0	ibs2	hom_concordance	hets_a	hets_b	hets_ab	shared_hets	hom_alts_a	hom_alts_b	shared_hom_alts	n	x_ibs0	x_ibs2	expected_relatedness
GCPA042B1	GERMLINB1	-0.014	1471	7683	-0.031	6848	6864	13515	2850	5694	5667	2767	16969	26	160	-1.0
GCPA042B1	GERMLINB2	-0.023	1470	7703	-0.027	6848	6680	13366	2785	5694	5723	2788	16969	32	162	-1.0
GCPA042B1	GERMLINC1	0.013	1363	7847	0.024	6848	6702	13392	2810	5694	5749	2865	16982	27	185	-1.0
GCPA042B1	GERMLINC2	-0.009	1418	7588	-0.012	6848	6818	13467	2777	5694	5681	2767	16919	20	180	-1.0
GCPA042B1	GERMLIND1	-0.006	1421	7666	-0.009	6848	6704	13311	2800	5694	5701	2789	16798	21	176	-1.0
GCPA042B1	GERMLIND2	-0.008	1429	7664	-0.011	6848	6744	13374	2804	5694	5691	2796	16859	22	190	-1.0
GCPA042B1	GPCA041B1	0.066	1237	8024	0.085	6848	6820	13444	2916	5694	5665	2954	16873	34	172	-1.0
GERMLINB1	GERMLINB2	0.495	0	10222	0.681	6864	6680	13347	3301	5667	5723	3860	16967	0	230	-1.0
GERMLINB1	GERMLINC1	-0.020	1454	7698	-0.016	6864	6702	13371	2774	5667	5749	2816	16975	26	172	-1.0
GERMLINB1	GERMLINC2	0.002	1406	7659	-0.012	6864	6818	13492	2823	5667	5681	2744	16911	24	178	-1.0
GERMLINB1	GERMLIND1	0.009	1363	7656	0.005	6864	6704	13341	2786	5667	5701	2753	16788	32	164	-1.0
GERMLINB1	GERMLIND2	0.041	1266	7815	0.061	6864	6744	13374	2806	5667	5691	2876	16843	21	179	-1.0
GERMLINB1	GPCA041B1	0.021	1372	7818	0.010	6864	6820	13446	2885	5667	5665	2799	16866	28	162	-1.0
GERMLINB2	GERMLINC1	-0.022	1448	7815	-0.003	6680	6702	13216	2751	5723	5749	2880	16977	29	174	-1.0
GERMLINB2	GERMLINC2	-0.025	1484	7739	-0.030	6680	6818	13293	2802	5723	5681	2798	16912	29	168	-1.0
GERMLINB2	GERMLIND1	-0.038	1483	7595	-0.036	6680	6704	13140	2714	5723	5701	2761	16790	35	165	-1.0
GERMLINB2	GERMLIND2	0.002	1369	7791	0.024	6680	6744	13191	2752	5723	5691	2874	16847	24	171	-1.0
GERMLINB2	GPCA041B1	-0.016	1426	7641	-0.012	6680	6820	13296	2746	5723	5665	2786	16871	29	169	-1.0
GERMLINC1	GERMLINC2	0.251	701	9059	0.356	6702	6818	13318	3076	5749	5681	3424	16926	6	226	-1.0
GERMLINC1	GERMLIND1	-0.014	1410	7678	0.001	6702	6704	13172	2728	5749	5701	2828	16804	30	182	-1.0
GERMLINC1	GERMLIND2	-0.011	1417	7725	0.005	6702	6744	13237	2760	5749	5691	2861	16859	19	176	-1.0
GERMLINC1	GPCA041B1	0.008	1342	7710	0.030	6702	6820	13306	2740	5749	5665	2854	16878	26	194	-1.0
GERMLINC2	GERMLIND1	0.025	1304	7723	0.046	6818	6704	13253	2773	5681	5701	2871	16734	29	160	-1.0
GERMLINC2	GERMLIND2	-0.002	1412	7679	-0.002	6818	6744	13323	2813	5681	5691	2813	16788	20	189	-1.0
GERMLINC2	GPCA041B1	0.015	1362	7709	0.017	6818	6820	13387	2823	5681	5665	2820	16812	26	170	-1.0
GERMLIND1	GERMLIND2	0.028	1328	7872	0.042	6704	6744	13146	2838	5701	5691	2894	16670	24	161	-1.0
GERMLIND1	GPCA041B1	-0.003	1401	7614	-0.006	6704	6820	13235	2779	5701	5665	2770	16692	21	174	-1.0
GERMLIND2	GPCA041B1	0.018	1379	7818	0.014	6744	6820	13311	2880	5691	5665	2836	16748	20	180	-1.0
