Id1,Id2,IBD0.cM,IBD1.cM,IBD2.cM,EstDegree
U084466CM2014D19622,U084466PF2014D19620,0.2654909350964,NA,NA,1
U084466CM2014D19622,U084466PM2014D19812,0.221124674985236,NA,NA,1
U084466PF2014D19620,U084466PM2014D19812,0.999124706368761,NA,NA,11
U084466PF2014D19620,U143920CM2016D22827,0.998628371143061,NA,NA,11
U084466PM2014D19812,U143920CM2016D22827,0.998028879024967,NA,NA,10
U143920CM2016D22827,U143920PF2016D22831,0.205795360201348,NA,NA,1
U143920CM2016D22827,U143920PF2016D24514,0.653976030441943,NA,NA,3
U143920PF2016D22831,U143920PF2016D24514,0.197542626497075,NA,NA,1
U084466PM2014D19812,U192125CF2019D01182,0.999140363593635,NA,NA,11
U143920CM2016D22827,U192125CF2019D01182,0.998215384913368,NA,NA,10
U192125CF2019D01182,U192125PF2019D11568,0.193791025593387,NA,NA,1
U143920CM2016D22827,U192125PM2019D11570,0.999153818224993,NA,NA,11
U192125CF2019D01182,U192125PM2019D11570,0.177777980842812,NA,NA,1
U192125PF2019D11568,U192125PM2019D11570,0.989855445425353,NA,NA,8
