Id1,Id2,IBD0.cM,IBD1.cM,IBD2.cM,EstDegree
U084466CM2014D19622,U084466PF2014D19620,0.0743356423834443,NA,NA,PO
U084466CM2014D19622,U084466PM2014D19812,0.0870262832991506,NA,NA,PO
U084466PF2014D19620,U084466PM2014D19812,0.999124706368761,NA,NA,11
U084466CM2014D19622,U143920CM2016D22827,0.998247596629031,NA,NA,10
U084466PF2014D19620,U143920CM2016D22827,0.997692918787155,NA,NA,10
U084466PM2014D19812,U143920CM2016D22827,0.998245376425576,NA,NA,10
U084466CM2014D19622,U143920PF2016D22831,0.999119656967914,NA,NA,11
U084466PF2014D19620,U143920PF2016D22831,0.999134805122163,NA,NA,11
U143920CM2016D22827,U143920PF2016D22831,0.0642275536710938,NA,NA,PO
U143920CM2016D22827,U143920PF2016D24514,0.598055887005604,NA,NA,2
U143920PF2016D22831,U143920PF2016D24514,0.0694086802438799,NA,NA,PO
U084466CM2014D19622,U192125CF2019D01182,0.999097651135731,NA,NA,11
U084466PM2014D19812,U192125CF2019D01182,0.999140363593635,NA,NA,11
U143920CM2016D22827,U192125CF2019D01182,0.998121362660631,NA,NA,10
U143920PF2016D22831,U192125CF2019D01182,0.999122473205802,NA,NA,11
U084466PM2014D19812,U192125PF2019D11568,0.998951210770466,NA,NA,11
U192125CF2019D01182,U192125PF2019D11568,0.0750581001204418,NA,NA,PO
U084466CM2014D19622,U192125PM2019D11570,0.998858323498755,NA,NA,11
U084466PF2014D19620,U192125PM2019D11570,0.998959509119184,NA,NA,11
U084466PM2014D19812,U192125PM2019D11570,0.998859174217112,NA,NA,11
U192125CF2019D01182,U192125PM2019D11570,0.0768714362200638,NA,NA,PO
U192125PF2019D11568,U192125PM2019D11570,0.989423418386045,NA,NA,8
