#sample_a	sample_b	relatedness	ibs0	ibs2	hom_concordance	hets_a	hets_b	hets_ab	shared_hets	hom_alts_a	hom_alts_b	shared_hom_alts	n	x_ibs0	x_ibs2	expected_relatedness
U084466CM2014D19622	U084466PF2014D19620	0.496	1	9742	0.668	6729	6673	13281	3297	5376	5375	3591	16430	0	204	-1.0
U084466CM2014D19622	U084466PM2014D19812	0.497	1	9718	0.666	6729	6758	13345	3317	5376	5386	3583	16430	126	197	-1.0
U084466CM2014D19622	U143920CM2016D22827	-0.023	1478	7138	-0.095	6729	6799	13420	2802	5376	5367	2448	16432	144	179	-1.0
U084466CM2014D19622	U143920PF2016D22831	-0.004	1453	7202	-0.089	6729	6921	13536	2877	5376	5243	2439	16437	67	111	-1.0
U084466CM2014D19622	U143920PF2016D24514	-0.012	1458	7109	-0.089	6729	6907	13523	2837	5376	5286	2444	16416	70	112	-1.0
U084466CM2014D19622	U192125CF2019D01182	-0.052	1559	7110	-0.129	6729	6684	13302	2769	5376	5352	2427	16433	59	120	-1.0
U084466CM2014D19622	U192125PF2019D11568	-0.044	1561	7094	-0.144	6729	6817	13430	2825	5376	5250	2365	16435	75	124	-1.0
U084466CM2014D19622	U192125PM2019D11570	-0.040	1486	7103	-0.087	6729	6653	13262	2709	5376	5418	2503	16433	124	198	-1.0
U084466PF2014D19620	U084466PM2014D19812	-0.008	1395	7210	-0.047	6673	6758	13311	2740	5375	5386	2536	16436	71	133	-1.0
U084466PF2014D19620	U143920CM2016D22827	-0.016	1436	7179	-0.071	6673	6799	13354	2765	5375	5367	2491	16439	78	127	-1.0
U084466PF2014D19620	U143920PF2016D22831	0.005	1396	7220	-0.066	6673	6921	13477	2827	5375	5243	2444	16439	27	141	-1.0
U084466PF2014D19620	U143920PF2016D24514	-0.018	1482	7162	-0.097	6673	6907	13465	2843	5375	5286	2449	16423	27	122	-1.0
U084466PF2014D19620	U192125CF2019D01182	-0.055	1529	7040	-0.117	6673	6684	13256	2691	5375	5352	2431	16443	24	141	-1.0
U084466PF2014D19620	U192125PF2019D11568	-0.039	1484	6998	-0.112	6673	6817	13378	2709	5375	5250	2381	16442	27	135	-1.0
U084466PF2014D19620	U192125PM2019D11570	-0.050	1538	7185	-0.105	6673	6653	13204	2745	5375	5418	2510	16437	73	131	-1.0
U084466PM2014D19812	U143920CM2016D22827	-0.024	1501	7199	-0.091	6758	6799	13428	2841	5386	5367	2511	16446	145	178	-1.0
U084466PM2014D19812	U143920PF2016D22831	-0.007	1486	7239	-0.099	6758	6921	13563	2922	5386	5243	2454	16444	66	112	-1.0
U084466PM2014D19812	U143920PF2016D24514	-0.023	1496	7052	-0.113	6758	6907	13544	2833	5386	5286	2395	16426	75	107	-1.0
U084466PM2014D19812	U192125CF2019D01182	-0.040	1537	7181	-0.113	6758	6684	13336	2806	5386	5352	2469	16442	68	112	-1.0
U084466PM2014D19812	U192125PF2019D11568	-0.032	1485	6998	-0.108	6758	6817	13473	2756	5386	5250	2404	16444	70	128	-1.0
U084466PM2014D19812	U192125PM2019D11570	-0.044	1498	7049	-0.092	6758	6653	13307	2706	5386	5418	2503	16442	154	168	-1.0
U143920CM2016D22827	U143920PF2016D22831	0.499	0	9633	0.666	6799	6921	13609	3396	5367	5243	3494	16450	0	179	-1.0
U143920CM2016D22827	U143920PF2016D24514	0.193	881	8099	0.208	6799	6907	13593	3072	5367	5286	2859	16429	32	151	-1.0
U143920CM2016D22827	U192125CF2019D01182	-0.033	1487	7084	-0.098	6799	6684	13381	2753	5367	5352	2450	16446	53	127	-1.0
U143920CM2016D22827	U192125PF2019D11568	-0.022	1474	7070	-0.100	6799	6817	13498	2797	5367	5250	2423	16448	64	134	-1.0
U143920CM2016D22827	U192125PM2019D11570	-0.026	1477	7166	-0.088	6799	6653	13359	2778	5367	5418	2480	16446	130	193	-1.0
U143920PF2016D22831	U143920PF2016D24514	0.492	1	9461	0.648	6921	6907	13708	3371	5243	5286	3398	16428	0	174	-1.0
U143920PF2016D22831	U192125CF2019D01182	-0.028	1484	7023	-0.110	6921	6684	13498	2780	5243	5352	2393	16445	17	127	-1.0
U143920PF2016D22831	U192125PF2019D11568	-0.006	1483	7189	-0.105	6921	6817	13628	2926	5243	5250	2413	16448	20	134	-1.0
U143920PF2016D22831	U192125PM2019D11570	-0.030	1510	7104	-0.117	6921	6653	13476	2821	5243	5418	2405	16448	68	110	-1.0
U143920PF2016D24514	U192125CF2019D01182	-0.049	1584	7039	-0.149	6907	6684	13480	2837	5286	5352	2382	16429	19	118	-1.0
U143920PF2016D24514	U192125PF2019D11568	-0.018	1486	7018	-0.117	6907	6817	13621	2847	5286	5250	2360	16431	25	142	-1.0
U143920PF2016D24514	U192125PM2019D11570	-0.055	1593	7037	-0.146	6907	6653	13435	2818	5286	5418	2413	16429	74	109	-1.0
U192125CF2019D01182	U192125PF2019D11568	0.491	1	9644	0.662	6684	6817	13375	3287	5352	5250	3475	16446	0	183	-1.0
U192125CF2019D01182	U192125PM2019D11570	0.481	0	9574	0.666	6684	6653	13235	3180	5352	5418	3567	16449	0	179	-1.0
U192125PF2019D11568	U192125PM2019D11570	-0.026	1499	7229	-0.100	6817	6653	13362	2822	5250	5418	2471	16446	77	121	-1.0
